http_request_url,nos_redirects,status_code_tool,final_processed_url,error_message_tool,website,afid,name,status_code_requests,notes,updated_name,google_url
http://www.crossfitboss.com,,200,https://chaalkbox.com.au/,,www.crossfitboss.com,3859,CrossFit Boss,,,CrossFit+Boss,https://www.google.com/search?q=CrossFit+Boss
http://www.sheepdogcrossfit.com,,200,https://www.sheepdogcrossfit.com/,,www.sheepdogcrossfit.com,3869,Sheepdog CrossFit,,,Sheepdog+CrossFit,https://www.google.com/search?q=Sheepdog+CrossFit
http://www.crossfitwashpark.com,,200,https://www.crossfitwashpark.com/,,www.crossfitwashpark.com,3870,CrossFit Wash Park,,,CrossFit+Wash+Park,https://www.google.com/search?q=CrossFit+Wash+Park
http://www.overlandparkcrossfit.com,,200,https://overlandparkcrossfit.com/,,www.overlandparkcrossfit.com,3886,Overland Park CrossFit,,,Overland+Park+CrossFit,https://www.google.com/search?q=Overland+Park+CrossFit
http://www.crossfitjamesisland.com,,200,https://www.crossfitjamesisland.com/,,www.crossfitjamesisland.com,3887,CrossFit James Island,,,CrossFit+James+Island,https://www.google.com/search?q=CrossFit+James+Island
http://www.crossfitmodena.com,,200,https://crossfitmodena.it/,,www.crossfitmodena.com,3890,CrossFit Modena,,,CrossFit+Modena,https://www.google.com/search?q=CrossFit+Modena
http://www.andersonrivercrossfit.com,,200,https://andersonrivercrossfit.com/,,www.andersonrivercrossfit.com,3894,Anderson River CrossFit,,,Anderson+River+CrossFit,https://www.google.com/search?q=Anderson+River+CrossFit
http://www.frontlinecrossfit.com,0,200,http://www.frontlinecrossfit.com,,www.frontlinecrossfit.com,3907,Frontline CrossFit,,Domain Expired,Frontline+CrossFit,https://www.google.com/search?q=Frontline+CrossFit
http://www.crossfitliger.com,,200,https://crossfitliger.com/,,www.crossfitliger.com,3915,CrossFit Liger,,,CrossFit+Liger,https://www.google.com/search?q=CrossFit+Liger
http://www.crossfitferrum.com,,200,https://ferrumathleticco.com/,,www.crossfitferrum.com,3916,CrossFit Ferrum,,,CrossFit+Ferrum,https://www.google.com/search?q=CrossFit+Ferrum
http://www.crossfithighoctane.com,,200,https://crossfithighoctane.com/,,www.crossfithighoctane.com,3923,CrossFit High Octane,,,CrossFit+High+Octane,https://www.google.com/search?q=CrossFit+High+Octane
http://www.renewedstrengthcrossfit.com,,200,https://renewedstrengthcrossfit.com/,,www.renewedstrengthcrossfit.com,3927,Renewed Strength CrossFit,,,Renewed+Strength+CrossFit,https://www.google.com/search?q=Renewed+Strength+CrossFit
http://www.ironbridgecrossfit.com,,200,https://www.ironbridgecrossfit.com/,,www.ironbridgecrossfit.com,3929,Iron Bridge CrossFit,,,Iron+Bridge+CrossFit,https://www.google.com/search?q=Iron+Bridge+CrossFit
http://www.crossfitschenectady.com,,200,https://www.crossfitschenectady.com/,,www.crossfitschenectady.com,3931,CrossFit Schenectady,,,CrossFit+Schenectady,https://www.google.com/search?q=CrossFit+Schenectady
http://www.crossfit30518.com,0,200,http://www.crossfit30518.com,,www.crossfit30518.com,3939,CrossFit 30518,,Not Setup Properly,CrossFit+30518,https://www.google.com/search?q=CrossFit+30518
http://www.loudhousecrossfit.com,,200,https://www.loudhousecrossfit.com/,,www.loudhousecrossfit.com,3940,LoudHouse CrossFit,,,LoudHouse+CrossFit,https://www.google.com/search?q=LoudHouse+CrossFit
http://www.hermescrossfit.com,,200,https://hermes-crossfit.triib.com/,,www.hermescrossfit.com,3945,Hermes CrossFit,,,Hermes+CrossFit,https://www.google.com/search?q=Hermes+CrossFit
http://www.crossfittaurus.com,,200,https://www.crossfittaurus.com/,,www.crossfittaurus.com,3950,CrossFit Taurus,,,CrossFit+Taurus,https://www.google.com/search?q=CrossFit+Taurus
http://www.crossfitcitruspark.com,,200,http://crossfitcitruspark.com/,,www.crossfitcitruspark.com,3953,CrossFit Citrus Park,,,CrossFit+Citrus+Park,https://www.google.com/search?q=CrossFit+Citrus+Park
http://www.crossfitnewbedford.com,0,200,http://www.crossfitnewbedford.com,,www.crossfitnewbedford.com,3954,CrossFit New Bedford,,,CrossFit+New+Bedford,https://www.google.com/search?q=CrossFit+New+Bedford
http://www.crossfitwichita.com,,200,https://crossfitwichita.com/,,www.crossfitwichita.com,3956,CrossFit Wichita,,,CrossFit+Wichita,https://www.google.com/search?q=CrossFit+Wichita
http://www.crossfitmousetrap.com,,200,https://mousetrapfitness.com/,,www.crossfitmousetrap.com,3957,CrossFit MouseTrap,,,CrossFit+MouseTrap,https://www.google.com/search?q=CrossFit+MouseTrap
http://www.crossfitkennettsquare.com,,200,https://crossfitkennettsquare.com/,,www.crossfitkennettsquare.com,3958,CrossFit Kennett Square,,,CrossFit+Kennett+Square,https://www.google.com/search?q=CrossFit+Kennett+Square
http://www.crossfitgrizzly.com,,200,http://www.mtasportscenter.com/,,www.crossfitgrizzly.com,3959,CrossFit Grizzly,,,CrossFit+Grizzly,https://www.google.com/search?q=CrossFit+Grizzly
http://www.blackfincrossfit.com,,200,https://blackfincrossfit.com/,,www.blackfincrossfit.com,3963,Black Fin CrossFit,,,Black+Fin+CrossFit,https://www.google.com/search?q=Black+Fin+CrossFit
http://www.crossfitdynamo.com,,200,https://crossfitdynamo.com/,,www.crossfitdynamo.com,3964,CrossFit Dynamo,,,CrossFit+Dynamo,https://www.google.com/search?q=CrossFit+Dynamo
http://www.crossfitruston.com,,200,https://www.crossfitruston.com/,,www.crossfitruston.com,3965,CrossFit Ruston,,,CrossFit+Ruston,https://www.google.com/search?q=CrossFit+Ruston
http://www.crossfitjunglegym.com,,200,https://crossfitjunglegym.com/,,www.crossfitjunglegym.com,3966,CrossFit Jungle Gym,,,CrossFit+Jungle+Gym,https://www.google.com/search?q=CrossFit+Jungle+Gym
http://www.crossfitfortwortheast.com,,200,http://ww1.crossfitfortwortheast.com,,www.crossfitfortwortheast.com,3971,CrossFit Fort Worth East,,Not Setup Properly,CrossFit+Fort+Worth+East,https://www.google.com/search?q=CrossFit+Fort+Worth+East
http://www.crossfitarmada.com,,200,https://www.crossfitarmada.com/,,www.crossfitarmada.com,3973,CrossFit Armada,,,CrossFit+Armada,https://www.google.com/search?q=CrossFit+Armada
http://www.crossfitcountdown.com,,200,https://www.crossfitcountdown.com/,,www.crossfitcountdown.com,3974,CrossFit Countdown,,,CrossFit+Countdown,https://www.google.com/search?q=CrossFit+Countdown
http://www.crossfitwaipio.com,,200,https://www.crossfitwaipio.com/,,www.crossfitwaipio.com,3976,CrossFit Waipio,,,CrossFit+Waipio,https://www.google.com/search?q=CrossFit+Waipio
http://www.crossfit925.com,,200,https://925strong.com/,,www.crossfit925.com,3981,CrossFit 925,,,CrossFit+925,https://www.google.com/search?q=CrossFit+925
http://www.crossfitsantaynezvalley.com,0,200,http://www.crossfitsantaynezvalley.com,,www.crossfitsantaynezvalley.com,3983,CrossFit Santa Ynez Valley,,,CrossFit+Santa+Ynez+Valley,https://www.google.com/search?q=CrossFit+Santa+Ynez+Valley
http://www.sarumcrossfit.com,0,200,http://www.sarumcrossfit.com,,www.sarumcrossfit.com,3985,Sarum CrossFit,,,Sarum+CrossFit,https://www.google.com/search?q=Sarum+CrossFit
http://www.crossfitmanvel.com,,200,https://www.crossfitmanvel.com/,,www.crossfitmanvel.com,3990,CrossFit Manvel,,,CrossFit+Manvel,https://www.google.com/search?q=CrossFit+Manvel
http://www.chargecrossfit.com,0,200,http://www.chargecrossfit.com,,www.chargecrossfit.com,3991,Charge CrossFit,,Domain Expired,Charge+CrossFit,https://www.google.com/search?q=Charge+CrossFit
http://www.crossfitvalleyview.com,0,200,http://www.crossfitvalleyview.com,,www.crossfitvalleyview.com,3992,CrossFit ValleyView,,,CrossFit+ValleyView,https://www.google.com/search?q=CrossFit+ValleyView
http://www.reebokcrossfitlouvre.com,,200,https://crossfitlouvre.com/,,www.reebokcrossfitlouvre.com,3993,Reebok CrossFit Louvre,,,Reebok+CrossFit+Louvre,https://www.google.com/search?q=Reebok+CrossFit+Louvre
http://www.crossfitbrutality.com,,200,https://crossfitbrutality.com/,,www.crossfitbrutality.com,3994,CrossFit Brutality,,,CrossFit+Brutality,https://www.google.com/search?q=CrossFit+Brutality
http://www.solidaritycrossfit.com,,200,https://solidaritycrossfit.com/,,www.solidaritycrossfit.com,3995,Solidarity CrossFit,,,Solidarity+CrossFit,https://www.google.com/search?q=Solidarity+CrossFit
http://www.crossfitsuccess.com,0,200,http://www.crossfitsuccess.com,,www.crossfitsuccess.com,3999,CrossFit Success,,,CrossFit+Success,https://www.google.com/search?q=CrossFit+Success
http://www.crossfitintown.com,,200,http://www.crossfit-intown.de/,,www.crossfitintown.com,4000,CrossFit IN Town,,,CrossFit+IN+Town,https://www.google.com/search?q=CrossFit+IN+Town
http://www.crossfit843.com,,200,https://www.crossfit843.com/,,www.crossfit843.com,4005,CrossFit 843,,,CrossFit+843,https://www.google.com/search?q=CrossFit+843
http://www.crowrivercrossfit.com,,200,https://crowrivercrossfit.com/,,www.crowrivercrossfit.com,4017,Crow River CrossFit,,,Crow+River+CrossFit,https://www.google.com/search?q=Crow+River+CrossFit
http://www.crossfitwichitafalls.com,,200,https://dan.com/buy-domain/crossfitwichitafalls.com?redirected=true&tld=com,,www.crossfitwichitafalls.com,4029,CrossFit Wichita Falls,,Domain Expired,CrossFit+Wichita+Falls,https://www.google.com/search?q=CrossFit+Wichita+Falls
http://www.crossfitdesire.com,,200,https://www.buydomains.com/lander/crossfitdesire.com?domain=crossfitdesire.com&utm_source=crossfitdesire.com&utm_medium=click&utm_campaign=tdfs-AprTest&traffic_id=AprTest&traffic_type=tdfs&redirect=ono-redirect,,www.crossfitdesire.com,4030,CrossFit Desire,,Domain Expired,CrossFit+Desire,https://www.google.com/search?q=CrossFit+Desire
http://www.crossfitviera.com,,200,https://www.crossfitviera.com/,,www.crossfitviera.com,4036,CrossFit Viera,,,CrossFit+Viera,https://www.google.com/search?q=CrossFit+Viera
